iter	Passed	Remaining
0	4	4215
1	5	2899
2	9	3056
3	11	2750
4	12	2563
5	16	2673
6	17	2496
7	21	2647
8	25	2773
9	26	2653
10	28	2549
11	29	2451
12	31	2369
13	32	2297
14	34	2246
15	35	2196
16	37	2183
17	39	2145
18	40	2103
19	42	2066
20	43	2048
21	45	2037
22	47	2030
23	49	2001
24	50	1975
25	52	1951
26	53	1930
27	54	1909
28	56	1891
29	57	1873
30	59	1857
31	60	1841
32	62	1828
33	63	1814
34	65	1800
35	67	1807
36	69	1813
37	71	1808
38	72	1795
39	74	1786
40	75	1774
41	77	1777
42	80	1796
43	82	1797
44	84	1788
45	85	1776
46	87	1768
47	88	1759
48	90	1748
49	91	1740
50	93	1731
51	94	1723
52	95	1714
53	97	1707
54	98	1698
55	100	1690
56	101	1685
57	103	1677
58	104	1671
59	106	1669
60	109	1688
61	111	1691
62	113	1690
63	115	1693
64	117	1695
65	119	1697
66	122	1701
67	124	1712
68	127	1714
69	128	1711
70	130	1709
71	132	1708
72	134	1705
73	135	1701
74	138	1705
75	140	1703
76	142	1703
77	144	1711
78	149	1739
79	152	1748
80	155	1762
81	157	1760
82	159	1758
83	166	1811
84	171	1847
85	175	1863
86	178	1870
87	182	1894
88	187	1915
89	190	1924
90	194	1940
91	198	1956
92	201	1966
93	205	1984
94	207	1980
95	209	1973
96	211	1965
97	212	1956
98	214	1948
99	215	1939
100	216	1931
101	218	1922
102	219	1914
103	221	1907
104	222	1899
105	224	1891
106	225	1885
107	227	1877
108	228	1870
109	230	1863
110	231	1857
111	233	1850
112	234	1843
113	236	1836
114	238	1832
115	239	1828
116	241	1825
117	243	1822
118	245	1818
119	247	1816
120	249	1810
121	250	1804
122	252	1798
123	253	1791
124	255	1785
125	256	1779
126	257	1773
127	259	1767
128	260	1761
129	262	1755
130	263	1750
131	265	1745
132	266	1739
133	268	1735
134	269	1729
135	271	1724
136	272	1719
137	274	1713
138	275	1708
139	277	1703
140	278	1698
141	280	1693
142	281	1688
143	283	1683
144	284	1679
145	287	1679
146	288	1674
147	290	1669
148	291	1664
149	293	1660
150	294	1655
151	295	1650
152	297	1646
153	298	1641
154	300	1637
155	302	1635
156	305	1641
157	307	1640
158	313	1660
159	317	1665
160	320	1670
161	324	1676
162	327	1679
163	328	1675
164	330	1670
165	331	1665
166	333	1661
167	334	1656
168	335	1652
169	337	1647
170	338	1643
171	340	1639
172	342	1635
173	343	1631
174	345	1626
175	345	1619
176	347	1615
177	348	1611
178	350	1607
179	352	1604
180	353	1601
181	355	1597
182	356	1593
183	358	1589
184	359	1585
185	361	1582
186	363	1579
187	364	1576
188	366	1573
189	368	1571
190	370	1569
191	375	1580
192	380	1590
193	382	1588
194	385	1592
195	396	1626
196	406	1655
197	414	1680
198	420	1691
199	422	1688
200	425	1690
201	429	1697
202	433	1700
203	434	1695
204	436	1693
205	438	1688
206	439	1684
207	442	1685
208	445	1685
209	447	1682
210	448	1678
211	450	1673
212	451	1669
213	453	1666
214	455	1663
215	457	1660
216	459	1658
217	461	1655
218	463	1652
219	465	1651
220	467	1649
221	469	1645
222	473	1651
223	477	1653
224	481	1658
225	484	1660
226	487	1661
227	491	1662
228	495	1667
229	499	1672
230	503	1675
231	505	1674
232	508	1672
233	509	1668
234	511	1664
235	513	1660
236	514	1657
237	516	1653
238	517	1648
239	519	1644
240	520	1640
241	522	1636
242	523	1631
243	525	1627
244	526	1623
245	528	1619
246	529	1615
247	531	1611
248	532	1607
249	534	1603
250	535	1599
251	537	1595
252	538	1591
253	540	1587
254	541	1583
255	543	1579
256	545	1575
257	546	1571
258	548	1568
259	549	1564
260	551	1560
261	552	1556
262	554	1553
263	555	1549
